decision_id,event_id,agent_name,confidence_score,reasoning_summary,recommended_action,approved,executed
DEC1905A832,EVTA5EF09D5,ProcurementBot,0.62,Market conditions support Establish share tell hand change edge.,Auto-Approve,Yes,Yes
DEC746E0586,EVTB2112E4E,VendorAnalyzer,0.44,Compliance requirements mandate Bit many network certain none alone.,Escalate to Manager,No,No
DEC33A7DBC6,EVTDA53F194,RiskAssessment,0.45,Risk assessment indicates Commercial left medical understand say.,Approve,Yes,Yes
DEC1302DA3A,EVT64D5414D,DeliveryTracker,0.83,Compliance requirements mandate Raise nearly resource several.,Send to Committee,Yes,Yes
DEC6A9520C7,EVT1AC36BD7,ProcurementBot,0.82,Based on historical patterns Set one nearly culture cell.,Require Backup Vendor,Yes,No
DECC2AC34F1,EVT391CCBFA,VendorAnalyzer,0.77,Vendor reliability suggests Tough raise challenge rock three.,Reject,Yes,Yes
DEC6F0CB506,EVT502E0A38,DeliveryTracker,0.92,Market conditions support Do have minute artist vote.,Delay Decision,Yes,Yes
DEC29AABFF2,EVT4D4C2AD8,VendorAnalyzer,0.76,Vendor reliability suggests Other issue let fine respond.,Send to Committee,No,No
DECD6DD5EC9,EVT136D1AFD,VendorAnalyzer,0.88,Compliance requirements mandate To back light successful do hope quite.,Auto-Approve,Yes,No
DEC877B5CE5,EVTFD7FE7AC,RiskAssessment,0.59,Based on historical patterns Or would simply answer.,Send to Committee,Yes,Yes
DEC1649E004,EVT100A539C,IncidentResponder,0.91,Compliance requirements mandate Money power first make he certain kitchen pattern.,Auto-Approve,Yes,Yes
DECC9BA6C28,EVT463077B0,IncidentResponder,0.77,Based on historical patterns Student religious within bad first.,Reject,Yes,No
DEC460281B3,EVT3D5C3CE2,DeliveryTracker,0.98,Compliance requirements mandate Experience sing color half.,Approve,Yes,Yes
DEC557AA1C7,EVT62127924,ApprovalEngine,0.66,Risk assessment indicates Bad adult gas phone stop matter thing bag.,Require Backup Vendor,Yes,Yes
DEC80770133,EVT9A0ABB56,ApprovalEngine,0.74,Based on historical patterns Why couple share series.,Reject,Yes,Yes
DEC67C583EE,EVT22FF92C2,IncidentResponder,1.0,Compliance requirements mandate He pressure well hold push answer send as.,Delay Decision,Yes,Yes
DEC7D322111,EVT10479E05,VendorAnalyzer,0.84,Market conditions support Congress individual should probably shoulder it ev,Delay Decision,No,No
DEC5A583621,EVT56218185,ApprovalEngine,1.0,Based on historical patterns Few increase lay western create activity.,Approve,Yes,Yes
DECB9DF5E71,EVTFF78F4DF,VendorAnalyzer,0.86,Compliance requirements mandate Hundred mention eat pattern offer both.,Escalate to Manager,Yes,No
DEC55C83A3A,EVT3305DDAC,VendorAnalyzer,0.78,Vendor reliability suggests Long off do me suddenly.,Send to Committee,Yes,Yes
DEC6844ED0E,EVT839B8A0D,VendorAnalyzer,0.93,Inventory levels recommend Try guy teach employee.,Delay Decision,Yes,Yes
DECAB65E735,EVT2B515F86,ProcurementBot,0.91,Vendor reliability suggests Tonight most worker budget.,Require Backup Vendor,Yes,Yes
DEC4122DAC2,EVTC2B61860,IncidentResponder,0.84,Based on historical patterns Tree mouth operation of result democratic Mr occur,Approve,Yes,Yes
DEC0BC8CC6E,EVT5B6A562A,ProcurementBot,0.87,Vendor reliability suggests Nice class among value.,Request More Information,No,No
DEC72D80956,EVTBB0C1A1B,DeliveryTracker,1.0,Market conditions support Catch phone want beyond pay mouth.,Require Backup Vendor,Yes,Yes
DEC39CEB182,EVT530C8702,RiskAssessment,0.71,Market conditions support Between step about a visit my international course,Reject,No,No
DECCA11DABE,EVT4BC77DB8,IncidentResponder,0.55,Compliance requirements mandate Risk question fine dinner.,Request More Information,Yes,No
DEC34B0198E,EVT8177F304,InventoryOptimizer,0.84,Cost-benefit analysis shows Shake short choose because personal system new sud,Require Backup Vendor,No,No
DECC1DF6EDC,EVT2CDDF84D,InventoryOptimizer,0.75,Compliance requirements mandate North national on option trade easy easy.,Delay Decision,No,No
DECCC7CDBB8,EVTC5CB1B93,VendorAnalyzer,0.78,Cost-benefit analysis shows Itself decade else table million possible worry.,Send to Committee,Yes,Yes
DEC9096F2E2,EVT1A984D90,ProcurementBot,0.77,Compliance requirements mandate Page shoulder provide son former.,Reject,No,No
DEC0294F22B,EVTA1B5A326,InventoryOptimizer,0.66,Cost-benefit analysis shows Follow beat security kind.,Request More Information,Yes,No
DEC6A226EE8,EVT7580889B,RiskAssessment,0.71,Compliance requirements mandate Little special travel south nature.,Reject,Yes,Yes
DEC744D1A73,EVT28BC159A,ApprovalEngine,0.74,Market conditions support Thought parent already recently gas smile.,Approve,No,No
DEC95B21017,EVT0C548E65,RiskAssessment,0.95,Compliance requirements mandate Deep responsibility article key campaign series.,Request More Information,Yes,Yes
DECB0F81E3F,EVT206E3D8D,DeliveryTracker,0.76,Compliance requirements mandate Over into stop then.,Approve,Yes,Yes
DEC5F9E3F1A,EVT7E0BF34F,IncidentResponder,0.59,Based on historical patterns Page former own must school ahead my education.,Send to Committee,Yes,Yes
DEC3ADEDA35,EVT575B4EA0,IncidentResponder,0.71,Market conditions support Case involve wait right response significant exper,Approve,No,No
DEC1070302C,EVTFA9F009C,ProcurementBot,0.92,Market conditions support Politics listen measure when contain baby.,Reject,Yes,Yes
DECE628AAD0,EVT4E68F699,ProcurementBot,0.68,Based on historical patterns Set sister raise his serious once.,Request More Information,No,No
DEC1EFE28D6,EVT1AC36BD7,InventoryOptimizer,0.76,Inventory levels recommend Agreement push miss meeting.,Reject,Yes,No
DECFD6A3A02,EVT33F7BFBA,InventoryOptimizer,1.0,Compliance requirements mandate Third special resource degree someone.,Reject,Yes,Yes
DECE5123D50,EVTB8D2AEB8,ProcurementBot,0.7,Cost-benefit analysis shows Nation down recognize charge realize.,Require Backup Vendor,Yes,Yes
DEC9E18CCFF,EVT20E3A769,InventoryOptimizer,0.7,Based on historical patterns Under address late since.,Delay Decision,Yes,Yes
DEC1482D780,EVT5C66C245,DeliveryTracker,0.95,Vendor reliability suggests Pressure realize but create space.,Escalate to Manager,No,No
DEC9D602EFF,EVT4C8EA076,DeliveryTracker,0.73,Based on historical patterns Within color staff any three.,Require Backup Vendor,Yes,Yes
DEC89656B2D,EVT46123962,CostOptimizer,0.91,Based on historical patterns These short prove inside scientist.,Approve,Yes,Yes
DECC50D7986,EVT1AD9A0DD,ApprovalEngine,0.69,Inventory levels recommend Break cup to might.,Auto-Approve,No,No
DEC040E0D31,EVTE54806A1,IncidentResponder,0.72,Market conditions support Involve unit give necessary economy fly quality.,Send to Committee,Yes,Yes
DECE9668D9E,EVT17C93DBA,IncidentResponder,0.81,Risk assessment indicates Catch yes want send.,Request More Information,Yes,No
DECEC450EEE,EVT7980648F,ProcurementBot,0.79,Based on historical patterns Room large catch itself major.,Require Backup Vendor,Yes,No
DECA033A03A,EVT1D325178,ProcurementBot,0.87,Cost-benefit analysis shows Expert wide popular myself give kind.,Send to Committee,No,No
DEC6D279666,EVT236AB328,ApprovalEngine,0.82,Market conditions support Goal fish picture night.,Delay Decision,Yes,No
DEC47B47996,EVT8596A778,ProcurementBot,0.94,Market conditions support Note environmental black name task fear apply step,Delay Decision,No,No
DEC45E9B222,EVTB8465B4B,InventoryOptimizer,0.61,Based on historical patterns Box place positive.,Delay Decision,Yes,Yes
DECE5B2C460,EVT012146A9,RiskAssessment,0.9,Compliance requirements mandate Service former carry Congress each their.,Escalate to Manager,Yes,Yes
DECC73364A8,EVTA420472B,ApprovalEngine,0.87,Based on historical patterns Shake security total stuff what least.,Require Backup Vendor,No,No
DECB2C440DE,EVT58D9C2F0,RiskAssessment,0.9,Based on historical patterns Human fact head long forget thought.,Auto-Approve,Yes,No
DEC047FAF1F,EVTE48C79FF,CostOptimizer,0.61,Vendor reliability suggests Property smile about become author important.,Approve,Yes,Yes
DEC8C2E6223,EVT9404A71F,IncidentResponder,0.77,Market conditions support Themselves important ok thank many.,Delay Decision,No,No
DEC7FE404C6,EVTE3593891,ApprovalEngine,0.67,Market conditions support Laugh near hold.,Escalate to Manager,No,No
DECB7379B50,EVT010E6E28,RiskAssessment,0.83,Market conditions support Hundred example give western or space.,Reject,No,No
DEC5D357336,EVTECB5B636,CostOptimizer,0.64,Compliance requirements mandate Yeah tell let move.,Escalate to Manager,No,No
DECD0641A50,EVT136D1AFD,DeliveryTracker,0.89,Risk assessment indicates Him million policy per green capital pick.,Reject,No,No
DEC145F7166,EVT0535EDC6,RiskAssessment,0.82,Risk assessment indicates Whatever lead none cultural.,Request More Information,No,No
DECB08A4686,EVT2B61AF9A,ProcurementBot,0.95,Vendor reliability suggests Sell from scene whether last beautiful leave.,Require Backup Vendor,No,No
DEC10F29030,EVTFF072744,ProcurementBot,0.86,Compliance requirements mandate Door same reveal shoulder clearly.,Auto-Approve,Yes,Yes
DECB37C47C3,EVTEB590F1F,VendorAnalyzer,0.75,Compliance requirements mandate If star health bed source service if.,Request More Information,Yes,Yes
DECD1C3C636,EVTD94DE12A,InventoryOptimizer,0.76,Inventory levels recommend These tax personal agreement nation why bad.,Require Backup Vendor,Yes,No
DECF02235E4,EVTA4D16CCD,ApprovalEngine,0.81,Vendor reliability suggests Talk room hundred have own American.,Auto-Approve,Yes,Yes
DEC805689B9,EVT8F67D29A,DeliveryTracker,0.67,Vendor reliability suggests Yet fall blood today ability film.,Require Backup Vendor,Yes,No
DEC6EBEE746,EVT22F38E94,VendorAnalyzer,0.71,Market conditions support Bad upon kitchen almost ground.,Escalate to Manager,Yes,Yes
DEC6C3788D9,EVTC4C9256A,InventoryOptimizer,0.64,Cost-benefit analysis shows Probably baby manage short girl.,Request More Information,Yes,Yes
DEC9FC37E69,EVT8AEB0C66,DeliveryTracker,1.0,Inventory levels recommend News thank thank home environment resource.,Auto-Approve,Yes,Yes
DEC04847D99,EVTF0E46C64,DeliveryTracker,0.87,Cost-benefit analysis shows Child few worry blood center for.,Send to Committee,Yes,Yes
DEC48F7E4B0,EVT552089E2,ApprovalEngine,0.65,Risk assessment indicates Really fill practice phone decade entire student d,Delay Decision,No,No
DEC7DCC9F04,EVT860C785B,VendorAnalyzer,0.82,Market conditions support Across human increase support find yet.,Approve,Yes,Yes
DEC7E1067E5,EVTB52F63C3,ApprovalEngine,1.0,Based on historical patterns Final character measure worry step.,Request More Information,Yes,No
DEC7E238887,EVT2C2B820A,InventoryOptimizer,0.56,Cost-benefit analysis shows Voice condition bring.,Reject,No,No
DECE7FDE131,EVT913F6399,RiskAssessment,0.86,Compliance requirements mandate Into price will wish mouth site.,Request More Information,Yes,Yes
DEC7DA258A9,EVT11B080E5,DeliveryTracker,0.89,Vendor reliability suggests Rule agreement determine available.,Request More Information,No,No
DECAEFD6355,EVT4D80407F,DeliveryTracker,1.0,Risk assessment indicates Church training enter concern if drug wife.,Request More Information,Yes,Yes
DEC8FF027D4,EVT10B462D2,DeliveryTracker,0.64,Compliance requirements mandate Be argue price.,Send to Committee,Yes,Yes
DECF7C00E52,EVTCEA0FECC,CostOptimizer,0.75,Risk assessment indicates Themselves lawyer big heavy money stay.,Delay Decision,No,No
DEC22B486B9,EVTA6074695,InventoryOptimizer,0.55,Inventory levels recommend Trouble she here investment picture.,Reject,No,No
DECD8A54085,EVTFC1DE23C,IncidentResponder,1.0,Based on historical patterns Believe hope street may race answer four when.,Delay Decision,Yes,Yes
DEC61961141,EVT4F12C8AB,InventoryOptimizer,0.77,Based on historical patterns Reach type evidence pattern.,Approve,Yes,Yes
DEC001605BE,EVTF17B00F5,InventoryOptimizer,0.64,Vendor reliability suggests Building hotel toward church team.,Reject,Yes,No
DECABEBD253,EVT8FD280B0,VendorAnalyzer,0.85,Based on historical patterns Improve offer appear fund.,Reject,Yes,Yes
DECECE9C10C,EVTF1331C7B,CostOptimizer,0.71,Inventory levels recommend Reflect loss arrive film government.,Auto-Approve,Yes,No
DECC819AA98,EVTF5870575,RiskAssessment,0.77,Risk assessment indicates Him fall reveal yes carry sure heart position.,Approve,Yes,No
DEC38CB98C5,EVT9DCAFE16,RiskAssessment,0.8,Cost-benefit analysis shows Feel water mind they model.,Require Backup Vendor,No,No
DEC93C75313,EVTA512AF61,RiskAssessment,0.88,Based on historical patterns Enjoy have feel network institution.,Send to Committee,Yes,Yes
DEC11DC6C59,EVTF3A3EF80,CostOptimizer,0.74,Market conditions support Fear mean environment.,Approve,Yes,Yes
DEC0012654D,EVT821B3F20,ApprovalEngine,0.87,Risk assessment indicates May capital seek beyond service.,Require Backup Vendor,No,No
DEC3531AE8B,EVT3E4EE628,VendorAnalyzer,0.82,Inventory levels recommend Stage visit something.,Require Backup Vendor,No,No
DEC575DB8AC,EVT304B84A9,CostOptimizer,0.87,Cost-benefit analysis shows Health middle station continue politics.,Auto-Approve,No,No
DEC4F21F1A6,EVT78DAEE2B,IncidentResponder,0.61,Based on historical patterns Case health reality you.,Auto-Approve,No,No
DEC1542CD92,EVTF461ABF4,ProcurementBot,0.95,Cost-benefit analysis shows Free else fill challenge until free.,Request More Information,Yes,No
DEC88C9BA0B,EVTB319E560,IncidentResponder,0.72,Vendor reliability suggests Within when increase check raise similar beyond.,Delay Decision,No,No
DEC574E4FAB,EVT1D541C3B,RiskAssessment,0.55,Market conditions support Main day need range fund watch.,Reject,Yes,Yes
DECB78B84AF,EVTAC5A851A,IncidentResponder,0.66,Market conditions support Tend just outside point attention never dinner.,Escalate to Manager,Yes,Yes
DEC27A436B7,EVTD2A0F6A3,RiskAssessment,1.0,Vendor reliability suggests Impact college direction skin soldier end.,Escalate to Manager,Yes,No
DECF68FA336,EVTFC580636,IncidentResponder,0.66,Market conditions support Time form property sign.,Delay Decision,Yes,Yes
DEC5E72F67A,EVTE9C3BE80,ProcurementBot,0.53,Risk assessment indicates Possible lay nor large class collection.,Escalate to Manager,Yes,Yes
DEC8CC01189,EVTECC802D1,DeliveryTracker,0.97,Market conditions support Trade behavior eat Congress sometimes away deal sm,Approve,No,No
DEC24A0A6B3,EVTD4F865D9,ApprovalEngine,0.76,Inventory levels recommend Arrive cold scene yes.,Require Backup Vendor,Yes,Yes
DEC5A301267,EVTB9B8D94D,InventoryOptimizer,0.83,Based on historical patterns Else rather let camera character lay.,Delay Decision,No,No
DEC3BF00D46,EVTDD647B83,RiskAssessment,0.77,Compliance requirements mandate Matter sea design my soldier lot space.,Require Backup Vendor,Yes,Yes
DECC25DF878,EVTC90A5D88,DeliveryTracker,0.65,Cost-benefit analysis shows Those rock will evening perform piece.,Approve,Yes,Yes
DEC9D2C3E90,EVT8CAF808A,DeliveryTracker,0.91,Market conditions support Region happy bill however Democrat enter.,Require Backup Vendor,Yes,Yes
DEC678F7D7F,EVT88C45A04,RiskAssessment,0.58,Based on historical patterns Despite these action last very what minute.,Auto-Approve,Yes,Yes
DEC6E8FD532,EVT098DFD6F,ApprovalEngine,0.97,Risk assessment indicates Day bag nearly lot detail TV.,Auto-Approve,Yes,No
DEC787D14F4,EVT711C69A4,CostOptimizer,0.86,Inventory levels recommend Current clearly cause tough poor report.,Require Backup Vendor,No,No
DEC3A657A14,EVT4BA50977,ApprovalEngine,0.76,Vendor reliability suggests Marriage wish believe rise growth age pass.,Approve,Yes,No
DEC2F0269AF,EVT22F38E94,CostOptimizer,0.52,Risk assessment indicates Simply business federal student sure budget.,Approve,Yes,Yes
DEC2289A45A,EVT20558635,CostOptimizer,0.73,Vendor reliability suggests Star leg simply seem.,Escalate to Manager,Yes,Yes
DEC6C4E8933,EVTED152A44,RiskAssessment,0.64,Risk assessment indicates Once go even improve.,Approve,No,No
DEC150B6064,EVTE45E6928,ApprovalEngine,0.69,Cost-benefit analysis shows Different hundred space.,Approve,No,No
DEC36485303,EVT21DAA52B,IncidentResponder,0.79,Cost-benefit analysis shows Somebody former enough throw care everything.,Send to Committee,No,No
DEC521389EC,EVTEABAC42E,ApprovalEngine,0.97,Compliance requirements mandate This floor when improve result style stock.,Request More Information,Yes,Yes
DEC97D51121,EVT546AA2B4,IncidentResponder,0.81,Cost-benefit analysis shows House group certain close.,Request More Information,Yes,Yes
DEC65B4A614,EVT74EB7A56,DeliveryTracker,0.96,Cost-benefit analysis shows Always still road prove before.,Send to Committee,No,No
DECDA98FA8E,EVT24012AC9,ApprovalEngine,0.81,Based on historical patterns Nothing ready maybe my cut resource.,Approve,Yes,No
DEC8048EBC0,EVTED46AD11,IncidentResponder,0.86,Based on historical patterns Involve herself firm certainly way need senior pre,Escalate to Manager,Yes,Yes
DECECFBB5DD,EVT5B642029,DeliveryTracker,0.69,Cost-benefit analysis shows Significant occur none choose reduce professor lot,Request More Information,Yes,Yes
DEC9A58C196,EVTBD23AF0F,RiskAssessment,0.86,Market conditions support Say key ball then.,Auto-Approve,Yes,Yes
DECAC0636BD,EVT163D77FD,IncidentResponder,0.74,Market conditions support Capital though if area rise television chair.,Require Backup Vendor,Yes,Yes
DEC86490BF8,EVT2E83E82C,VendorAnalyzer,0.61,Cost-benefit analysis shows Face catch by response pull thing kitchen.,Approve,No,No
DEC7F108664,EVTA29A0118,DeliveryTracker,0.8,Inventory levels recommend Product will today hold.,Require Backup Vendor,Yes,Yes
DECA9F8A257,EVT2EFDEFB9,ProcurementBot,0.56,Compliance requirements mandate Bill skill nature.,Request More Information,No,No
DECA8CC7DBB,EVTE03B80C6,ProcurementBot,0.72,Inventory levels recommend House loss ten American institution buy.,Send to Committee,No,No
DECCC2810F8,EVTD8322A3C,VendorAnalyzer,0.71,Inventory levels recommend Science live process.,Send to Committee,No,No
DEC3A5AE287,EVT9DAFED69,VendorAnalyzer,0.68,Based on historical patterns True finally middle report mouth guess suffer supp,Reject,No,No
DEC2DCC8D19,EVT84D52DBB,ApprovalEngine,0.75,Inventory levels recommend Three report sea along.,Escalate to Manager,Yes,Yes
DEC3CF46FD5,EVTB574CB97,VendorAnalyzer,0.91,Compliance requirements mandate Glass several young lawyer Mrs space create.,Send to Committee,Yes,Yes
DECC79657E5,EVTAE04D9C4,ApprovalEngine,0.79,Vendor reliability suggests Plan goal explain determine evidence become.,Auto-Approve,Yes,Yes
DECC7C2AA7B,EVT93840050,IncidentResponder,0.52,Risk assessment indicates Boy voice market offer create oil.,Require Backup Vendor,No,No
DECFD818172,EVTB4F52E76,IncidentResponder,0.72,Market conditions support Reflect explain focus camera example law couple.,Require Backup Vendor,Yes,Yes
DEC3F65F822,EVT2052324C,ProcurementBot,0.97,Vendor reliability suggests Fly enter price state determine subject color mate,Reject,Yes,Yes
DEC3E754A80,EVTB3C8FDEF,VendorAnalyzer,0.89,Market conditions support Seem cut sell her.,Escalate to Manager,No,No
DEC970A68CC,EVTB5A311F4,ApprovalEngine,0.42,Vendor reliability suggests Over life meet.,Require Backup Vendor,Yes,Yes
DECBCD7A46E,EVT3CC728C7,ProcurementBot,0.73,Based on historical patterns Necessary democratic most forget arrive establish.,Approve,No,No
DEC4A074DB0,EVTAAEC5E73,ProcurementBot,0.92,Based on historical patterns Point agency hard trip dream.,Send to Committee,Yes,No
DEC2DBBB5E3,EVT98354294,ApprovalEngine,1.0,Risk assessment indicates Energy series food together any campaign.,Approve,Yes,Yes
DECE827D7D8,EVTBF09D65E,RiskAssessment,0.73,Risk assessment indicates Them simple not Mrs civil state wait each.,Reject,No,No
DEC889DB93B,EVTD42546AD,CostOptimizer,0.9,Cost-benefit analysis shows Imagine car address.,Auto-Approve,Yes,No
DECF01D94FE,EVTCD04F63F,CostOptimizer,0.73,Inventory levels recommend Future live civil brother.,Approve,No,No
DECF7A66F54,EVT4BB80EA0,CostOptimizer,0.61,Compliance requirements mandate Source into three military however fine.,Reject,Yes,Yes
DEC4987C353,EVT0A770BC2,CostOptimizer,0.95,Vendor reliability suggests Around class someone large painting environmental.,Auto-Approve,No,No
DECB903DA27,EVT735228AF,IncidentResponder,0.44,Vendor reliability suggests Option however outside thought nor nothing good.,Auto-Approve,Yes,Yes
DECB15E55ED,EVT2405BFA6,DeliveryTracker,0.57,Cost-benefit analysis shows Enough opportunity television head put no.,Request More Information,No,No
DECADCD8626,EVT4A02D357,RiskAssessment,0.9,Inventory levels recommend Final should west test word.,Escalate to Manager,No,No
DEC022B7185,EVTB8D104C9,IncidentResponder,0.6,Vendor reliability suggests Late name teach time.,Reject,Yes,Yes
DEC7DA004AA,EVT04701D7F,ApprovalEngine,0.42,Inventory levels recommend Onto listen south forward act.,Approve,Yes,No
DEC4FAB4AAE,EVTD269A10A,InventoryOptimizer,0.67,Based on historical patterns Popular eight see most so.,Escalate to Manager,No,No
DEC068CDA72,EVTC5CB1B93,ProcurementBot,0.61,Cost-benefit analysis shows Mission edge throughout season by lose southern.,Auto-Approve,No,No
DECA46049D0,EVTE7A8B34D,CostOptimizer,0.81,Inventory levels recommend Daughter true gun sure answer.,Request More Information,No,No
DEC108C5279,EVT14461FA6,DeliveryTracker,0.69,Inventory levels recommend Check feeling out.,Escalate to Manager,Yes,Yes
DEC82DAA535,EVTF71ECFF6,ApprovalEngine,0.66,Market conditions support Foot system letter into.,Approve,No,No
DEC78F008D0,EVTECE81C26,VendorAnalyzer,0.7,Compliance requirements mandate That now chance everyone.,Require Backup Vendor,Yes,Yes
DEC151B5686,EVTB01C6B84,IncidentResponder,0.52,Risk assessment indicates Follow manage past join common.,Auto-Approve,Yes,No
DECC96EB1BF,EVT5A5169A6,DeliveryTracker,0.94,Cost-benefit analysis shows Have pressure hour water.,Auto-Approve,Yes,Yes
DECA0FAC0F3,EVTDE2B0F2F,RiskAssessment,0.77,Market conditions support Story use spend these.,Auto-Approve,Yes,Yes
DEC7BEAE0B9,EVTCFAB48B0,IncidentResponder,0.86,Market conditions support Full religious with out trouble reveal.,Request More Information,Yes,Yes
DECDD11984D,EVTF3D4418D,IncidentResponder,0.93,Risk assessment indicates Back occur same western focus indeed maybe.,Reject,No,No
DEC13CDCC08,EVTE1F93E22,CostOptimizer,0.79,Based on historical patterns Interesting meeting sometimes collection drive edu,Request More Information,Yes,Yes
DEC9A1D6795,EVT6BFE9CE1,InventoryOptimizer,0.99,Cost-benefit analysis shows Door foot television create focus call last lawyer,Auto-Approve,Yes,Yes
DEC4105CC76,EVT4446FB8E,VendorAnalyzer,0.89,Based on historical patterns For need society wind into never.,Delay Decision,Yes,Yes
DECD68A9452,EVT55723880,ProcurementBot,0.73,Market conditions support Stage and nice religious region.,Request More Information,Yes,Yes
DEC77279155,EVTFA89FA1A,IncidentResponder,0.81,Cost-benefit analysis shows Board result voice cause senior worker.,Approve,Yes,Yes
DECC5AC68D8,EVTA46F600F,VendorAnalyzer,0.86,Compliance requirements mandate Too letter but increase security quality design.,Auto-Approve,Yes,Yes
DEC4E1581B4,EVTD32573A1,RiskAssessment,0.53,Cost-benefit analysis shows Room point leg admit heart.,Reject,Yes,Yes
DEC618DE4E3,EVT94C64511,ProcurementBot,0.89,Vendor reliability suggests A entire heart laugh.,Escalate to Manager,Yes,Yes
DECE40E83D9,EVTC41F071A,RiskAssessment,0.52,Inventory levels recommend Lawyer company idea good actually see.,Auto-Approve,Yes,Yes
DECD2EB9A62,EVT8FD280B0,ProcurementBot,0.67,Compliance requirements mandate Somebody church degree result recently name missio,Auto-Approve,Yes,Yes
DECFC8B0262,EVTECF752FD,IncidentResponder,0.97,Inventory levels recommend No charge some style such.,Require Backup Vendor,Yes,Yes
DEC0CB12577,EVT1A2D4B4C,InventoryOptimizer,0.61,Compliance requirements mandate Specific strategy soon form woman.,Approve,Yes,Yes
DECACB8A0D8,EVTE7A8B34D,VendorAnalyzer,0.92,Inventory levels recommend Stock example eat low but prevent single.,Reject,Yes,Yes
DEC0B54115C,EVT657A2284,DeliveryTracker,0.49,Compliance requirements mandate Treatment senior suddenly school ten main morning.,Delay Decision,No,No
DEC0F2504CD,EVTC8751F87,IncidentResponder,0.77,Cost-benefit analysis shows Goal decision always station decade.,Request More Information,No,No
DECBFFF7BD5,EVT97148134,ProcurementBot,1.0,Based on historical patterns Leg while book participant learn half.,Request More Information,Yes,Yes
DEC792A1B0F,EVTB003B6EE,CostOptimizer,0.7,Compliance requirements mandate Also want share research stand and room.,Approve,Yes,Yes
DEC12556EF1,EVT2CAD3797,InventoryOptimizer,0.8,Inventory levels recommend Certain believe mother job daughter project main.,Auto-Approve,Yes,Yes
DEC45A6AC54,EVTFFE61DD9,IncidentResponder,0.63,Inventory levels recommend Mouth shoulder TV full drop.,Approve,Yes,Yes
DEC3A119417,EVT293CA5A3,IncidentResponder,0.64,Based on historical patterns Onto full benefit interesting show.,Reject,No,No
DECEE24B44A,EVT7B3E72B0,CostOptimizer,0.34,Cost-benefit analysis shows Determine power team affect along interview.,Auto-Approve,Yes,No
DECF27CD91C,EVT88B58AE3,CostOptimizer,0.61,Market conditions support Moment just bad box career black anyone.,Approve,No,No
DEC37BFD830,EVT2BFFAE52,RiskAssessment,0.56,Risk assessment indicates Nearly list travel piece air.,Escalate to Manager,Yes,Yes
DEC6E437A7F,EVT290E1162,InventoryOptimizer,0.86,Vendor reliability suggests Blue may quickly.,Escalate to Manager,No,No
DEC21696162,EVT0D731041,IncidentResponder,0.97,Vendor reliability suggests Indicate ability that right.,Auto-Approve,Yes,Yes
DEC3D33CF0C,EVT01467805,IncidentResponder,0.75,Inventory levels recommend Prepare unit affect true live question.,Auto-Approve,Yes,No
DECED13A755,EVT564D55F7,ApprovalEngine,0.71,Risk assessment indicates Smile travel class important leader when mind.,Send to Committee,Yes,No
DEC104983F9,EVT76B517E7,RiskAssessment,0.97,Inventory levels recommend Upon across our moment.,Approve,Yes,Yes
DECBEFE798A,EVT3B6407F0,CostOptimizer,0.8,Based on historical patterns Interview long owner hear particularly scene.,Send to Committee,Yes,No
DEC2DB82EC1,EVTE01A26DC,IncidentResponder,0.71,Compliance requirements mandate Season member full.,Reject,Yes,Yes
DEC7063D5F3,EVT51BB1F12,ProcurementBot,0.73,Cost-benefit analysis shows Guy father camera old value protect.,Send to Committee,Yes,No
DEC6B0BA62B,EVT9E6C7E6F,ApprovalEngine,0.72,Vendor reliability suggests Shake threat size fire partner even store long.,Reject,No,No
DECE6347BB5,EVT56218185,RiskAssessment,0.83,Compliance requirements mandate Term town first store team send teach.,Delay Decision,No,No
DEC93C0AC98,EVTD1048F73,ProcurementBot,0.72,Inventory levels recommend Participant imagine easy television job could cell,Auto-Approve,Yes,Yes
DECDB2B4C20,EVT9E1D550D,ApprovalEngine,0.54,Vendor reliability suggests Play along fast protect.,Delay Decision,Yes,Yes
DEC271899FA,EVT530C8702,ApprovalEngine,0.77,Cost-benefit analysis shows Issue believe above especially apply.,Escalate to Manager,Yes,Yes
DEC13057BEE,EVT45EFA950,DeliveryTracker,0.72,Risk assessment indicates Bank debate yard lose trade design.,Delay Decision,No,No
DEC6AB25FA8,EVTF0EBA0C7,VendorAnalyzer,0.99,Compliance requirements mandate Know long fall daughter follow society item civil.,Escalate to Manager,Yes,Yes
DECD61E1C5B,EVT3F3F852E,RiskAssessment,0.73,Market conditions support Seven arrive the actually attention save.,Reject,Yes,Yes
DECCB7DC691,EVTAD5240D9,DeliveryTracker,0.92,Inventory levels recommend Office such high great clearly put tend.,Send to Committee,No,No
DEC2998E1D2,EVT4C099BC4,ProcurementBot,0.84,Vendor reliability suggests Republican short worry plant role capital song lik,Require Backup Vendor,Yes,No
DEC94AFB186,EVT2E7C37FA,VendorAnalyzer,0.89,Vendor reliability suggests Mention challenge special land seven.,Send to Committee,Yes,No
DEC64B7CD83,EVTB8BA8727,CostOptimizer,0.33,Market conditions support Agency weight region ahead.,Delay Decision,Yes,Yes
DEC52AE84FB,EVT3A25AC44,RiskAssessment,0.74,Market conditions support Drop company provide myself current.,Request More Information,No,No
DECB404FA9F,EVT76B517E7,IncidentResponder,0.76,Inventory levels recommend Front trade suggest defense possible actually.,Send to Committee,Yes,No
