po_id,employee_id,vendor_id,approval_status,budget,amount,priority,request_date,approval_date,delivery_date,category
POCD06B1A6,EMP7BCA71E4,VND7E4DB750,Approved,20359.78,21272.4,Normal,2024-06-03,2024-06-08,2024-07-04,Services
PO383AB3CC,EMP846942A8,VNDD39C47AD,Pending,5071.32,5230.91,High,2024-07-24,,,Equipment
POD8685D48,EMP70BF8DC7,VND7A22016F,Approved,17369.53,15284.94,Normal,2024-06-01,2024-06-03,2024-06-19,Services
PO6A23E889,EMP6F8913EA,VND65B60718,Rejected,13717.0,16389.22,High,2024-01-22,2024-01-24,,Raw Materials
POE29BEB37,EMP0214B8B6,VND111F855A,Approved,12435.36,14849.72,Normal,2024-04-09,2024-04-10,2024-04-26,Raw Materials
PO95D04525,EMPB694FB22,VNDAEE88F85,Approved,31472.68,37676.12,Normal,2024-05-06,2024-05-07,2024-05-18,Equipment
POD16B0CDE,EMP653375B9,VNDAAF2A28A,Approved,48836.53,40967.08,Normal,2024-02-09,2024-02-11,2024-02-29,Office Supplies
PO60D180C8,EMP537F2192,VND22E4CBF8,Approved,30837.49,27920.96,High,2024-12-25,2024-12-30,2025-01-20,Services
PO29D0B63B,EMP31914953,VND439CBBCF,Rejected,3256.01,3164.74,Normal,2024-08-07,2024-08-10,,Office Supplies
POF51DEA32,EMPBC2744EE,VND6FADEC72,Pending,18263.9,16585.24,Normal,2024-10-17,,,Services
PO7F821717,EMP67849F2E,VND11B92497,Approved,19923.81,18882.18,High,2024-12-06,2024-12-07,2024-12-15,Equipment
PO34B1FB23,EMP0F3F41C8,VNDDFDF8860,Approved,2939.18,3395.32,High,2024-05-11,2024-05-13,2024-06-11,Raw Materials
PO0A44EF3F,EMP7BC1038A,VND27CBAF37,Approved,37262.76,32493.73,High,2024-01-16,2024-01-19,2024-02-17,Components
POAD3D4DA1,EMP6992694E,VNDB3180A0E,Approved,30367.02,25691.91,Critical,2024-06-09,2024-06-14,2024-07-01,Components
PO817653FD,EMP75731889,VND139B2EB5,Approved,10017.67,9982.57,Normal,2024-02-04,2024-02-09,2024-02-26,Services
PO962EB208,EMP2798E4C3,VND36436386,Approved,48719.23,43623.31,Normal,2024-05-20,2024-05-22,2024-05-30,Components
POC8ABB947,EMP08B5EB6D,VNDD902468E,Approved,44969.63,48711.68,Normal,2024-03-14,2024-03-18,2024-04-09,Components
PO4AD1BFAC,EMP76283272,VNDB8A208B5,Approved,24684.25,28576.4,Normal,2024-01-08,2024-01-10,2024-02-05,Services
PODF2D2016,EMPC78BB9AD,VND6B54C68D,Approved,12885.43,12461.34,Normal,2024-11-07,2024-11-09,2024-11-30,Raw Materials
PO4B1B2A23,EMPDBA32333,VND80A0A536,Approved,37567.91,45029.55,Normal,2024-01-17,2024-01-21,2024-01-26,Components
PO6B63C1D9,EMP8C60FAA8,VND38095B8C,Pending,21476.36,19892.19,Normal,2024-12-25,,,Components
PO7CBD28A6,EMP1EA91216,VNDFDC347F6,Approved,4733.79,5260.78,High,2024-12-23,2024-12-24,2025-01-12,Office Supplies
PO2E169A09,EMPAA24081E,VND19CF5E06,Pending,35422.32,44237.69,Normal,2024-06-14,,,Equipment
PO1CA2EB08,EMP8DA0487B,VND35CDCFF0,Approved,26156.72,28685.58,Normal,2024-09-18,2024-09-23,2024-10-11,Equipment
PO7797FCEB,EMP48AE33E6,VNDE3830203,Pending,20507.22,19886.38,Normal,2024-07-09,,,Office Supplies
PO9230BEB7,EMP491FF63D,VND417BDCE6,Approved,31003.93,32092.73,High,2024-01-20,2024-01-24,2024-02-08,Components
PO7976A0DA,EMP09829415,VND4706504E,Approved,8849.16,9730.48,High,2024-05-16,2024-05-18,2024-05-30,Services
POC9390F80,EMP4931D5C2,VNDC4060F12,Approved,7566.75,6745.03,High,2024-08-31,2024-09-02,2024-09-22,Components
POF4CC3B62,EMPAAB33B83,VND3A80813D,Cancelled,36480.02,39812.8,Normal,2024-11-04,2024-11-06,,Raw Materials
PO72326D52,EMPA4E9A56D,VNDB732CC31,Approved,22716.42,26448.89,Normal,2024-11-25,2024-11-26,2024-12-05,Office Supplies
PO1825F186,EMP61F313AC,VNDC73A3BD4,Pending,49384.82,44633.1,High,2024-07-21,,,Equipment
POD2276D16,EMP69535EC3,VND44174C92,Approved,23647.71,23896.65,Normal,2024-03-13,2024-03-15,2024-04-03,Services
PO34672AC1,EMPEEE38BFA,VND35CDCFF0,Approved,29151.63,33032.18,High,2024-11-03,2024-11-08,2024-11-22,Services
POA029DD0B,EMP6FC83941,VNDA9CEA40D,Approved,41772.07,45760.2,High,2024-07-28,2024-07-30,2024-08-05,Components
PO7026036D,EMP3BA5BCB4,VNDAE27E9B6,Approved,45857.84,47658.63,Normal,2024-01-25,2024-01-29,2024-02-27,Office Supplies
PO2FC6F35F,EMP85A3BBD6,VND37AB5C39,Approved,3037.08,3483.7,Normal,2024-09-21,2024-09-22,2024-10-21,Raw Materials
POCC8B6319,EMP72C132F1,VNDDFDF8860,Approved,27981.14,30357.61,Normal,2024-11-07,2024-11-11,2024-11-21,Raw Materials
PO6F305E67,EMP277755DF,VND0A251297,Approved,37404.09,44483.5,Normal,2024-04-12,2024-04-15,2024-05-05,Components
POE31A28BC,EMP96965CF8,VND4EDF116C,Cancelled,26871.89,25347.02,Normal,2024-04-21,2024-04-23,,Components
PO49881E36,EMP957732C6,VND999ED598,Pending,37838.2,40976.85,Normal,2024-08-11,,,Components
POCBBD435B,EMP50A11B42,VND6FADEC72,Approved,41699.37,36984.01,Normal,2024-03-02,2024-03-05,2024-03-18,Office Supplies
POCDFBD9F6,EMP22A1B0B3,VND2258ABB1,Approved,21991.87,22965.14,Normal,2024-10-27,2024-10-30,2024-11-14,Components
PO9322BF3E,EMPCBD9C55D,VND6121FB48,Pending,32176.41,35018.41,Critical,2024-07-01,,,Equipment
POA30AAE25,EMPE3D6DBA1,VND3B5BB0BC,Approved,47758.3,40693.95,Normal,2024-12-16,2024-12-20,2025-01-07,Office Supplies
PO42058D3A,EMP2B374324,VNDB732CC31,Approved,11976.25,13473.09,High,2024-01-29,2024-01-30,2024-02-12,Equipment
PO45242789,EMP63346CEE,VNDC178B24A,Pending,23185.56,19716.83,Normal,2024-06-02,,,Raw Materials
PO71459170,EMP0290D994,VND2986F777,Cancelled,36660.62,31253.32,High,2024-09-02,2024-09-03,,Components
POE8F08766,EMPDB6AE97C,VNDE6156EFE,Rejected,13868.69,16395.16,Normal,2024-10-18,2024-10-19,,Office Supplies
POC7817850,EMP45ADE446,VND2094DBBC,Approved,21039.91,20926.62,Normal,2024-04-12,2024-04-13,2024-05-04,Services
PO50BB0745,EMP43B412D8,VND1199176D,Approved,17266.57,19241.12,Critical,2024-10-21,2024-10-24,2024-11-20,Equipment
PO98E249CC,EMP91E5BBBE,VNDB1228DD8,Approved,2677.88,2592.29,Normal,2024-04-28,2024-05-03,2024-05-26,Equipment
POF8CCECB8,EMP8B44F448,VND275CA511,Approved,32833.41,29601.85,Normal,2024-04-29,2024-04-30,2024-05-21,Raw Materials
POF6C5E1A3,EMP4B9FF68F,VND4F7B00FC,Approved,45401.1,44940.92,Normal,2024-11-10,2024-11-12,2024-11-25,Raw Materials
PO013D34C8,EMP46142A77,VNDBA0CC89B,Pending,22345.05,24391.18,Normal,2024-08-20,,,Services
PO36851F34,EMP288D0F46,VNDD2BB8334,Approved,1582.65,1424.16,Critical,2024-12-29,2025-01-02,2025-01-24,Office Supplies
PO9D29E702,EMPEABF9341,VNDA6643FA7,Pending,3345.52,2975.9,Normal,2024-01-28,,,Office Supplies
PO506BE676,EMP72C117BD,VNDF909C443,Approved,48081.25,46616.85,Normal,2024-07-04,2024-07-09,2024-07-28,Raw Materials
PO5535C994,EMP89E71F55,VNDE6A4DD03,Cancelled,38304.32,37103.35,Normal,2024-03-01,2024-03-02,,Equipment
POE837A86A,EMPE2FCD38A,VND448E4836,Cancelled,47039.83,47531.07,Normal,2024-02-24,2024-02-26,,Office Supplies
POA7C33150,EMP6757C258,VNDD902468E,Approved,23402.74,26283.24,Normal,2024-10-24,2024-10-29,2024-11-11,Components
PO6B1EFDD4,EMPAE9B1C53,VNDCE923A65,Approved,3168.03,2975.76,Normal,2024-10-28,2024-10-31,2024-11-25,Components
POB0CC8484,EMPD9C1F219,VNDCAF05089,Approved,39268.15,36050.22,Critical,2024-01-15,2024-01-16,2024-01-30,Equipment
PO1011496F,EMPA5BD0DB2,VNDDFDF8860,Approved,45228.58,38682.42,Normal,2024-06-27,2024-07-02,2024-07-25,Services
PO2AB96B85,EMP4060BC72,VND6121FB48,Approved,21607.39,21716.49,Normal,2024-01-24,2024-01-29,2024-02-05,Components
PO00935801,EMP3F2AAFC9,VND0300765D,Approved,12959.05,11335.27,Normal,2024-07-13,2024-07-14,2024-07-19,Equipment
PO2E35E72D,EMP156AE375,VNDE4298A7B,Approved,5455.14,5117.98,Normal,2024-03-07,2024-03-10,2024-03-26,Components
PO169B401F,EMPCAE69C52,VND111F855A,Approved,1238.33,1488.06,Normal,2024-07-27,2024-07-29,2024-08-25,Equipment
PO3304CA6C,EMPFF717787,VNDF549E284,Rejected,18328.71,21558.97,Normal,2024-01-09,2024-01-11,,Raw Materials
PO9970BD19,EMP4A9D3940,VND020FD5AF,Approved,26749.05,32464.33,Normal,2024-06-19,2024-06-21,2024-07-19,Office Supplies
PO458091EF,EMPA4821728,VND97E5802F,Approved,29920.06,28620.55,High,2024-10-18,2024-10-23,2024-11-06,Raw Materials
POFEAA0A87,EMPB10E5447,VNDEA23339B,Approved,40678.1,42638.95,Critical,2024-12-31,2025-01-05,2025-01-28,Office Supplies
POE7BF5ADF,EMP1322B48A,VND29251C8F,Pending,37355.14,35293.72,Normal,2024-04-26,,,Equipment
POEC73C40D,EMP470588FC,VND9EBB9EB2,Approved,45585.82,39739.57,Normal,2024-07-07,2024-07-08,2024-07-13,Equipment
PO121DDEA2,EMP22675375,VND7A22016F,Approved,16527.19,17397.11,Normal,2024-01-13,2024-01-18,2024-01-29,Raw Materials
PO926F13FE,EMPEFCB366D,VNDD24A1BC5,Approved,20479.47,19727.85,High,2024-09-02,2024-09-07,2024-09-27,Office Supplies
POFAE721A5,EMP217ED751,VND590E7C93,Rejected,9762.96,9438.35,Normal,2024-03-04,2024-03-06,,Components
PO627ADB9F,EMP11303243,VND11B92497,Approved,6087.62,5335.06,Normal,2024-05-25,2024-05-29,2024-06-11,Components
POF58062D1,EMPA4124D14,VND8E10A670,Approved,1658.08,1904.13,Normal,2024-06-03,2024-06-04,2024-06-28,Services
PO0E27FEE8,EMPFB43562F,VND2FE40F33,Pending,15572.89,12998.51,Normal,2024-04-12,,,Raw Materials
POE09F9F85,EMP96CB256E,VND7B4F5D31,Approved,7867.31,8379.74,Normal,2024-02-04,2024-02-09,2024-02-28,Raw Materials
PODD645E62,EMPBB2E556C,VND6F35B3AD,Approved,27093.29,27488.55,Normal,2024-11-05,2024-11-09,2024-12-04,Equipment
PO5795CE58,EMPC9CF6F77,VND8CAEB48D,Approved,45018.82,44528.32,Normal,2024-08-22,2024-08-24,2024-09-04,Equipment
PO4F1F762A,EMP95F5CCDC,VND0CE75C53,Pending,8508.24,9992.65,Normal,2024-04-30,,,Office Supplies
PO557D2964,EMPB6614F64,VND2500CE76,Approved,47282.86,48399.37,Critical,2024-11-22,2024-11-23,2024-12-19,Office Supplies
PO7BF596BF,EMP8AE31088,VNDB598AD91,Approved,24094.74,21702.39,Normal,2024-10-02,2024-10-03,2024-10-14,Raw Materials
POCE26E57B,EMP3EC4D367,VNDD6D686D6,Approved,23159.73,23610.61,Normal,2024-01-13,2024-01-18,2024-02-17,Components
PO2C4B7E1C,EMPBA652F16,VND3A80813D,Approved,20683.59,20438.54,Normal,2024-05-29,2024-06-01,2024-06-08,Office Supplies
PO0C8C8DCD,EMP653F3BAE,VND5FE97D0B,Cancelled,36999.44,33973.21,Normal,2024-11-08,2024-11-10,,Services
POEF0D67EA,EMP6C0DB17D,VND0A251297,Approved,3925.43,3871.82,Normal,2024-12-19,2024-12-20,2024-12-28,Equipment
PO68D88075,EMP56B07627,VND6F35B3AD,Pending,36894.34,36232.83,Critical,2024-12-16,,,Office Supplies
PO3EC9BF9D,EMP5B495BE2,VNDD6D686D6,Approved,6708.23,5657.57,Normal,2024-02-25,2024-02-27,2024-03-19,Services
PO0639742D,EMPE5BCE1C4,VND11B92497,Approved,37270.47,40804.68,Critical,2024-01-17,2024-01-18,2024-02-02,Office Supplies
PO767B8C7F,EMP5F888387,VNDC939E188,Pending,3266.3,2835.74,Normal,2024-08-05,,,Components
POBD68A87B,EMP909E3F0D,VNDD24A1BC5,Approved,29428.01,24633.25,Normal,2024-01-09,2024-01-11,2024-02-08,Equipment
PO68851828,EMP58D65433,VND8E10A670,Pending,3001.22,3069.37,Normal,2024-10-01,,,Office Supplies
POB8078372,EMP9DA2EAC7,VND5FE97D0B,Approved,51853.52,44535.45,Normal,2024-12-10,2024-12-15,2024-12-24,Office Supplies
POE2156173,EMPF6A569DD,VND34264845,Pending,22767.35,20131.6,Normal,2024-07-09,,,Raw Materials
POFFEA0811,EMP006E3848,VND4F7B00FC,Approved,33188.8,41096.65,Normal,2024-12-28,2024-12-30,2025-01-21,Services
PO132FC1E4,EMP7A9ACC08,VND35CDCFF0,Approved,11178.99,11935.57,Normal,2024-10-11,2024-10-13,2024-10-19,Equipment
PO02984994,EMPF0402E49,VND63A70F54,Approved,14534.01,16451.61,Normal,2024-01-21,2024-01-26,2024-02-10,Raw Materials
POE6B14E72,EMPC7F89DF0,VND0B515B0E,Cancelled,38361.11,32535.57,High,2024-01-04,2024-01-07,,Equipment
PO2DCD5AD8,EMP3A95914B,VND9DFC7925,Approved,28665.15,34818.63,Normal,2024-05-06,2024-05-08,2024-05-20,Services
POF73BB679,EMP19C2CBD7,VNDF909C443,Pending,27232.33,28909.41,Normal,2024-06-29,,,Components
PO13483D56,EMPFE25A6E8,VND1199176D,Pending,12779.26,11257.78,Normal,2024-01-06,,,Services
PO8BD0553C,EMP9484E9CE,VND36436386,Approved,14531.52,17019.66,Normal,2024-09-13,2024-09-14,2024-10-13,Services
PO29BF6527,EMPDB8ABA5C,VNDF7A9FFF9,Approved,7255.0,8705.66,Normal,2024-11-27,2024-12-01,2024-12-30,Services
PO4D23E301,EMPC616CF54,VND190C8D31,Rejected,41589.6,35047.06,Normal,2024-05-04,2024-05-05,,Office Supplies
PO6E748B64,EMP438099CA,VND44174C92,Approved,22665.63,26320.63,High,2024-12-02,2024-12-04,2024-12-18,Office Supplies
POE115A93F,EMP58C1085E,VND365E2FC5,Approved,41453.59,43454.45,Normal,2024-06-18,2024-06-20,2024-07-16,Raw Materials
PO44E4B022,EMP3EFEFACB,VND3A746CBD,Cancelled,34275.56,39989.67,High,2024-05-07,2024-05-09,,Services
POCA2F61D9,EMPEA771A45,VND4EA7F305,Pending,10652.06,8915.74,Critical,2024-06-11,,,Raw Materials
PO67BB70E2,EMP36E17BC4,VND507751E2,Approved,38941.87,41428.57,High,2024-09-25,2024-09-29,2024-10-26,Office Supplies
POFD0C222F,EMP3434258C,VND2986F777,Approved,36650.64,39748.87,Critical,2024-11-17,2024-11-19,2024-11-25,Components
PO08CAFB2B,EMPC86B85F7,VND18221D96,Approved,21098.16,21981.82,Normal,2024-10-06,2024-10-07,2024-10-17,Equipment
PO8358952A,EMPDA15DC49,VND4AFDF46C,Approved,3001.51,3112.9,High,2024-11-13,2024-11-18,2024-11-24,Raw Materials
POC7DB1A31,EMP9FBB2844,VND2258ABB1,Approved,3206.51,2806.06,Normal,2024-08-06,2024-08-08,2024-09-02,Raw Materials
POB1FF5250,EMP0D1E5C81,VND27CBAF37,Approved,44161.59,39895.71,Normal,2024-03-11,2024-03-14,2024-04-13,Services
PO0088B66F,EMPDDB8D012,VND36436386,Pending,14736.11,14329.52,Normal,2024-09-20,,,Office Supplies
PO1D3357F6,EMP922BA8D9,VND35CDCFF0,Approved,13805.8,16867.74,Normal,2024-09-16,2024-09-18,2024-09-28,Equipment
POA722E59B,EMPE2A2930F,VND1FA33A03,Approved,21357.91,23549.83,High,2024-12-27,2024-12-28,2025-01-08,Services
POCA78E651,EMP4179C797,VNDC73A3BD4,Approved,5693.27,6705.95,High,2024-08-28,2024-09-02,2024-09-18,Services
PO66A508CB,EMPA6105E51,VNDE1A395FA,Approved,17117.02,20276.83,High,2024-11-14,2024-11-19,2024-11-29,Equipment
POC334FDED,EMPDC05C5AE,VNDC995E3B7,Approved,41857.82,40681.56,Normal,2024-12-09,2024-12-10,2025-01-06,Services
PO2DC0B063,EMP5D170476,VNDF981F27F,Approved,5348.64,5136.71,High,2024-02-01,2024-02-05,2024-02-26,Services
PO61E39E21,EMP7D16F9AE,VND2986F777,Approved,17470.95,15864.41,Normal,2024-12-25,2024-12-27,2025-01-08,Services
PO9A9C3B40,EMP0384AE7E,VNDBA0CC89B,Approved,11829.88,14088.69,Normal,2024-07-05,2024-07-08,2024-07-17,Raw Materials
POC2055BEB,EMPAA24081E,VNDE1A395FA,Approved,8962.29,8560.07,Normal,2024-06-15,2024-06-20,2024-07-13,Components
POF4D10179,EMP4D8E356F,VND589660CD,Approved,48434.35,47415.92,High,2024-11-01,2024-11-04,2024-12-02,Office Supplies
POD1DABE85,EMPD1AA2806,VNDB8A208B5,Approved,10513.57,10432.85,Normal,2024-10-30,2024-11-01,2024-11-19,Raw Materials
POC90B3F13,EMPD2D502B3,VND1DF7F1DC,Approved,35757.37,36315.19,Critical,2024-03-20,2024-03-21,2024-04-14,Equipment
PO614A9208,EMPBA79AD85,VNDB598AD91,Pending,25817.66,27134.31,Normal,2024-10-02,,,Office Supplies
PO29FED624,EMPF982DD18,VND590E7C93,Approved,17249.28,21002.74,Critical,2024-06-16,2024-06-19,2024-06-25,Components
POCF398EAC,EMP83F399E5,VND4D8ED92A,Approved,39732.74,35934.66,High,2024-05-24,2024-05-26,2024-06-07,Components
POF55E4942,EMP6234A2F6,VND894C6368,Approved,8277.2,7020.67,Normal,2024-01-27,2024-01-28,2024-02-09,Equipment
PO0148A6F7,EMP0AA94B4B,VND589660CD,Approved,20094.24,20891.77,High,2024-09-20,2024-09-24,2024-10-12,Raw Materials
PO27A2A193,EMP63F0B5BC,VND894C6368,Approved,35477.66,40631.85,Normal,2024-07-01,2024-07-06,2024-08-05,Components
POCCBA4B2B,EMPF82D4845,VNDD24A1BC5,Rejected,36776.86,45237.4,Normal,2024-12-23,2024-12-26,,Services
PO920DBFF4,EMPCCA6E6A9,VND65B60718,Approved,33123.19,36685.03,Normal,2024-05-01,2024-05-04,2024-05-31,Services
PO66289C93,EMP246A62B7,VND6121FB48,Approved,16574.28,20571.76,Normal,2024-03-11,2024-03-12,2024-03-17,Services
PO99EA25B7,EMPAE3AE05C,VND2AF9B25B,Approved,9584.94,8636.89,High,2024-04-16,2024-04-17,2024-04-29,Raw Materials
PO24BE4555,EMPA9439CDA,VND589660CD,Rejected,4710.85,5217.44,Critical,2024-11-19,2024-11-21,,Services
PO39971419,EMPFD849722,VNDF9F92F21,Approved,24846.45,29014.37,Critical,2024-07-24,2024-07-29,2024-08-20,Services
POC11607CC,EMP1ADAADE3,VNDF7742C98,Approved,30860.47,28612.38,Normal,2024-05-11,2024-05-16,2024-06-05,Components
POCB538922,EMPCB84BCB5,VND76746C6A,Approved,4997.37,5569.47,High,2024-06-15,2024-06-18,2024-07-01,Equipment
PO31FFE74F,EMP22038539,VND6B54C68D,Approved,33825.24,32958.95,Normal,2024-07-01,2024-07-02,2024-07-20,Office Supplies
POD783C080,EMPC03F5D74,VND9DFC7925,Approved,49787.85,45975.52,High,2024-12-01,2024-12-02,2024-12-17,Services
PO0713301B,EMP53B32CC0,VNDBC15E50D,Rejected,39996.17,47083.73,High,2024-09-14,2024-09-17,,Office Supplies
PO2E4C884B,EMP196320D6,VND221D1C44,Approved,37073.2,31605.59,Normal,2024-12-29,2024-12-31,2025-01-26,Services
POAE8DFBDD,EMP190E7B63,VND7B4F5D31,Approved,41964.18,38816.79,Normal,2024-11-24,2024-11-29,2024-12-07,Raw Materials
POACAFABF3,EMPC8A9C1A4,VNDA957A7D0,Approved,33926.31,29478.06,Normal,2024-11-08,2024-11-11,2024-11-25,Services
PO804F0FE1,EMPFA85CC73,VND1C52ED63,Approved,25334.64,21848.53,High,2024-02-28,2024-03-04,2024-03-09,Office Supplies
PO8E6DB101,EMP722D1AF4,VNDE4298A7B,Approved,16854.83,20774.54,Normal,2024-06-19,2024-06-20,2024-06-26,Raw Materials
PO565D1CFB,EMP156AE375,VND6E96F23C,Approved,5307.09,6231.02,Normal,2024-04-04,2024-04-09,2024-05-03,Components
PO61A091E3,EMPC669FE93,VND36436386,Approved,50343.86,47613.45,High,2024-07-22,2024-07-25,2024-08-21,Raw Materials
PO7E14E746,EMP6140C619,VNDC4092504,Approved,14059.18,14588.24,High,2024-06-25,2024-06-30,2024-07-23,Raw Materials
POE5B7957A,EMP3FFA3C03,VND6ACF147A,Rejected,19849.8,18638.15,Normal,2024-09-13,2024-09-15,,Equipment
POFBA06685,EMP6A42E67C,VNDC4060F12,Approved,41432.51,45020.21,Normal,2024-10-03,2024-10-04,2024-10-19,Equipment
POAD261532,EMPE96DAEDD,VND859AA544,Pending,4161.3,4412.29,Critical,2024-11-01,,,Services
PO9E539784,EMP63C1BB69,VNDEA23339B,Pending,8324.21,7027.3,Normal,2024-03-15,,,Office Supplies
PO33993F80,EMPAAB27E57,VND8CAEB48D,Approved,27058.15,25863.98,Normal,2024-08-08,2024-08-12,2024-08-30,Equipment
POF365B499,EMP9E9E7AF7,VND36436386,Approved,33078.65,41105.82,Normal,2024-10-12,2024-10-13,2024-10-30,Office Supplies
PO7F585C44,EMP852DB433,VNDC939E188,Approved,2537.75,2177.43,Normal,2024-12-29,2025-01-01,2025-01-27,Components
POBF2C8BD0,EMPAAE679BD,VNDBA0CC89B,Approved,36307.78,43793.81,High,2024-06-05,2024-06-07,2024-06-14,Equipment
PO1CAD6285,EMP26650008,VND590E7C93,Approved,49502.15,46553.62,Normal,2024-01-28,2024-01-30,2024-02-04,Raw Materials
PO23B3529D,EMP6D158600,VNDE1A395FA,Approved,20304.12,18913.2,Critical,2024-09-15,2024-09-18,2024-10-04,Components
PO8DA1A015,EMP2FC1CCB4,VND11B92497,Approved,8626.66,7637.34,Normal,2024-01-13,2024-01-15,2024-01-21,Components
PO57D88A23,EMP9FB64F83,VND36436386,Approved,15606.84,18741.6,Normal,2024-11-28,2024-11-29,2024-12-11,Services
PO7DC01544,EMP2C80F461,VNDE6A4DD03,Approved,4211.78,3765.33,Critical,2024-09-05,2024-09-09,2024-10-01,Services
PO41A21EE7,EMP60BBACA4,VND1DF449E3,Pending,31407.08,35175.5,Normal,2024-11-23,,,Services
PO9FBD532A,EMP52468A0C,VND139B2EB5,Approved,3451.01,3190.37,Normal,2024-10-17,2024-10-21,2024-11-08,Raw Materials
PO90299AEF,EMPC58F408B,VNDDA6D8C81,Approved,39009.01,36915.12,Normal,2024-03-16,2024-03-19,2024-04-16,Services
PO32A7A15E,EMP3E14909B,VNDD74D095B,Approved,38958.79,34336.27,High,2024-05-31,2024-06-03,2024-06-11,Raw Materials
PO3285D3F7,EMP93D587E9,VND6E96F23C,Pending,11313.96,11677.01,Normal,2024-06-09,,,Equipment
PO282A1D30,EMPEF590AAF,VNDD74D095B,Approved,37317.29,45059.73,Normal,2024-01-27,2024-01-29,2024-02-26,Raw Materials
POFB842A5E,EMPEECCD559,VND8E10A670,Approved,29685.78,25021.15,Normal,2024-01-21,2024-01-26,2024-02-05,Office Supplies
POEF9F1840,EMPF20D1DE1,VND17D7E4DC,Approved,41432.17,44680.41,High,2024-12-24,2024-12-29,2025-01-10,Raw Materials
PO8790F4EE,EMPE916B150,VNDA74DADEC,Approved,4956.96,4669.22,Normal,2024-12-22,2024-12-26,2025-01-11,Components
PO45655490,EMPC54DE46D,VND8BC82E76,Approved,10968.74,9923.67,Normal,2024-03-25,2024-03-30,2024-04-28,Services
PO707C3F06,EMP92E275EE,VNDAB26D618,Rejected,39467.73,42320.26,Critical,2024-11-11,2024-11-13,,Office Supplies
PO974F156B,EMP1C0AABEC,VND4AFDF46C,Approved,20420.38,19064.54,High,2024-10-05,2024-10-08,2024-10-17,Office Supplies
POD034355B,EMPD70D72E9,VND96325CEF,Approved,18389.57,20119.5,Normal,2024-09-13,2024-09-16,2024-10-07,Office Supplies
PO391C21EF,EMP4ED16947,VND96325CEF,Pending,29651.17,26474.95,Normal,2024-08-26,,,Equipment
PO93BDC21E,EMP2969A9F6,VND048CF2D5,Approved,24616.32,21024.86,High,2024-09-30,2024-10-04,2024-10-21,Raw Materials
PO3F17561A,EMPA1DAF85A,VNDDFDF8860,Rejected,5401.07,5357.21,Critical,2024-12-02,2024-12-04,,Components
PODCEB4A95,EMP31E114FA,VND4EA7F305,Approved,500.98,517.29,Normal,2024-07-30,2024-08-01,2024-08-11,Raw Materials
PO4F1BFF9A,EMPA80CB774,VND8BC82E76,Approved,47925.48,42644.24,High,2024-05-02,2024-05-06,2024-05-16,Equipment
PO611C0132,EMP4CBD22FF,VND8C1D087C,Approved,8712.03,8670.29,Normal,2024-10-05,2024-10-06,2024-11-02,Services
PO58A2FD71,EMPA8949D26,VND365E2FC5,Pending,10693.19,13124.1,Normal,2024-05-08,,,Equipment
POFA17EB32,EMP93636CB3,VND67D32B2F,Rejected,8355.78,9721.02,Normal,2024-08-24,2024-08-26,,Raw Materials
PO49929AA7,EMPD3441A31,VND2AF9B25B,Approved,24884.79,27153.52,Normal,2024-12-29,2024-12-31,2025-01-05,Raw Materials
PO2CA68FBB,EMP276D17A4,VNDAAF2A28A,Approved,20634.28,22489.21,Normal,2024-03-28,2024-03-29,2024-04-12,Equipment
PO9AF3AC58,EMP429767DE,VND19CF5E06,Rejected,23376.18,28266.54,Critical,2024-02-25,2024-02-27,,Office Supplies
POF86FE571,EMPD87820AE,VND4F7B00FC,Approved,17089.6,15133.24,Normal,2024-12-21,2024-12-23,2025-01-13,Office Supplies
POABA842CC,EMP9F1F9318,VNDA957A7D0,Approved,30766.44,30284.21,High,2024-03-18,2024-03-21,2024-03-28,Components
PO0D4C718B,EMPD107419B,VND4EDF116C,Approved,18425.94,17342.02,Normal,2024-04-29,2024-05-03,2024-05-19,Components
PO77A590B9,EMP922160F5,VND2FE40F33,Approved,30091.06,34925.89,Normal,2024-07-01,2024-07-03,2024-07-08,Raw Materials
PO1E998EA0,EMP57F72BF6,VND86F10A10,Approved,3874.45,4459.22,Normal,2024-12-03,2024-12-04,2024-12-10,Services
PO727D65E3,EMPFA7829B0,VND8BC82E76,Approved,30120.5,29575.66,Normal,2024-12-19,2024-12-21,2025-01-15,Raw Materials
PO3792C9B1,EMPFA870920,VND5FE97D0B,Approved,26063.12,27580.21,Normal,2024-02-17,2024-02-22,2024-03-11,Services
POA28D4426,EMPF39920C1,VNDA0E8AF6C,Approved,35422.76,37110.68,Normal,2024-11-24,2024-11-27,2024-12-02,Components
PO3B0235CE,EMP4AA51D8C,VND2500CE76,Pending,641.78,639.03,Critical,2024-03-11,,,Office Supplies
PO5342BC21,EMP1E307943,VNDB1228DD8,Approved,37409.86,46689.15,Normal,2024-02-05,2024-02-07,2024-02-27,Equipment
PO685F84A5,EMPF92A14E4,VND10335071,Approved,37422.29,43279.62,Normal,2024-03-28,2024-04-02,2024-04-12,Equipment
POB5544FBE,EMP69C3AA78,VNDD6D686D6,Pending,4180.99,4760.25,Normal,2024-06-12,,,Services
POC510D718,EMP810375A2,VND589660CD,Cancelled,13442.07,13316.25,Critical,2024-03-19,2024-03-22,,Components
